snagid,site,xc,yc,plotid,plot xc,plotyc,crs_epsg,sppid,treeDBH,treeHT,top,cavsum
BR210A_WL01,cda,539187.0902,5283339.532,BR210A,539187.09,5283339.53,26911,WL,0.43,18,BT,0
BR210A_WL03,cda,539172.9792,5283351.551,BR210A,539187.09,5283339.53,26911,WL,0.27,18.4,BT,0
BR210A_WL04,cda,539173.4856,5283354.334,BR210A,539187.09,5283339.53,26911,WL,0.45,30,BT,0
BR210B_DF01,cda,535974.0272,5285298.786,BR210B,535964.489,5285276.61,26911,DF,0.45,13.3,BT,0
BR210B_DF02,cda,535962,5285266.814,BR210B,535964.489,5285276.61,26911,DF,0.41,9.4,BT,0
BR210B_DF03,cda,535957.2331,5285261.449,BR210B,535964.489,5285276.61,26911,DF,0.45,3.1,BT,1
BR210B_GF02,cda,535975.7694,5285283.904,BR210B,535964.489,5285276.61,26911,GF,0.38,3,BT,0
BR210B_GF03,cda,535977.9856,5285277.249,BR210B,535964.489,5285276.61,26911,GF,0.27,10.9,BT,0
BR210B_GF04,cda,535983.5975,5285267.281,BR210B,535964.489,5285276.61,26911,GF,0.37,15.5,BT,0
BR210B_GF05,cda,535968.0177,5285276.076,BR210B,535964.489,5285276.61,26911,GF,0.45,3.6,BT,0
BR210B_GF06,cda,535962.569,5285271.819,BR210B,535964.489,5285276.61,26911,GF,0.36,5.2,BT,1
BR210B_GF07,cda,535958.5542,5285266.125,BR210B,535964.489,5285276.61,26911,GF,0.4,23.3,INTACT,0
BR210B_GF09,cda,535947.0444,5285271.722,BR210B,535964.489,5285276.61,26911,GF,0.19,2.7,BT,1
BR210B_GF10,cda,535941.6205,5285287.694,BR210B,535964.489,5285276.61,26911,GF,0.48,31.6,INTACT,0
BR210B_UN01,cda,535975.4363,5285301.352,BR210B,535964.489,5285276.61,26911,UN,0.42,28.7,INTACT,0
BR210B_WL01,cda,535984.9509,5285266.733,BR210B,535964.489,5285276.61,26911,WL,0.29,11.2,BT,0
BR210B_WL02,cda,535964.3367,5285264.939,BR210B,535964.489,5285276.61,26911,WL,0.3,16.8,BT,0
BR211G_DF01,cda,537819.3545,5307202.731,BR211G,537816.097,5307220.94,26911,DF,0.66,30.3,INTACT,0
BR211G_DF02,cda,537808.925,5307197.994,BR211G,537816.097,5307220.94,26911,DF,0.28,3.6,BT,2
