plotid,site,xc,yc,crs_epsg,subplot-live_ALL,subplot-live_20mHT,subplot-live_30mHT,nsnags_r11m
BR211A,cda,540104.733,5310503.08,26911,23,17,15,0
BR211G,cda,537816.097,5307220.94,26911,19,10,7,0
BR211I,cda,536721.521,5285115.3,26911,12,7,6,1
BR211X,cda,531267.889,5292394.98,26911,9,8,6,4
BR211Y,cda,530302.518,5287553.42,26911,13,6,5,2
BR212A,cda,534777.464,5285424.43,26911,10,4,4,6
BR212B,cda,525930.329,5297364.46,26911,10,5,4,4
BR212C,cda,531845.77,5281330.88,26911,3,3,2,1
BR212I,cda,530830.122,5293592.22,26911,4,4,0,0
BR212X,cda,535504.941,5282468.06,26911,11,10,5,3
BR21X6,cda,533687.833,5286389.4,26911,10,6,4,1
BR220O,cda,539901.463,5294753.4,26911,20,5,4,2
BR220Q,cda,533495.521,5297855.12,26911,21,8,8,1
BR221A,cda,532221.324,5306865.75,26911,25,21,18,1
BR221E,cda,530352.677,5291176.2,26911,20,12,10,1
BR221H,cda,547778.958,5283325.68,26911,18,7,6,0
BR221J,cda,530507.332,5295468.97,26911,26,20,17,0
BR221X,cda,525707.231,5301031.35,26911,18,4,4,2
BR222B,cda,537045.252,5292589.86,26911,8,3,2,1
BR222X,cda,540022.413,5289489.46,26911,16,14,12,2
BR222Y,cda,535964.076,5299645.51,26911,33,22,17,0
BR22X2,cda,533466.068,5281641.07,26911,12,5,5,2
BR22XA,cda,550833.826,5279295.61,26911,21,13,7,3
HS211B,stj,576041.524,5222787.1,26911,16,5,3,0
HS211C,stj,571257.935,5220111.84,26911,18,6,3,0
HS212D,stj,569961.597,5221415.01,26911,11,5,3,0
HS221A,stj,568507.308,5220664.47,26911,15,12,8,3
HS221B,stj,567976.103,5222740.62,26911,16,9,6,0
HS221F,stj,568539.897,5221689.37,26911,35,24,20,4
HS222A,stj,569679.951,5221176.62,26911,23,16,15,3
HS222D,stj,569974.406,5222333.76,26911,25,21,18,2
HS222G,stj,570589.968,5220617.67,26911,17,8,8,1
