plotid,plot xc,plotyc,treeid,xc,yc,diff ABS(tree xc - plot xc),diff ABS(tree yc - plot yc),eval_R50m,eval_R25m,eval_R11m,R02_xmin,R02_xmax,R02_ymin,R02_ymax,R03_xmin,R03_xmax,R03_ymin,R03_ymax,R04_xmin,R04_xmax,R04_ymin,R04_ymax,NOTES
BR210A,539187.09,5283339.53,BR210A_018,539192.25,5283362.25,5.16,22.72,Y,Y,N,539190.25,539194.25,5283360.25,5283364.25,539189.25,539195.25,5283359.25,5283365.25,539188.25,539196.25,5283358.25,5283366.25,FWS7x7
BR210A,539187.09,5283339.53,BR210A_019,539174.25,5283359.75,12.84,20.22,Y,Y,N,539172.25,539176.25,5283357.75,5283361.75,539171.25,539177.25,5283356.75,5283362.75,539170.25,539178.25,5283355.75,5283363.75,FWS7x7
BR210A,539187.09,5283339.53,BR210A_020,539191.75,5283358.25,4.66,18.72,Y,Y,N,539189.75,539193.75,5283356.25,5283360.25,539188.75,539194.75,5283355.25,5283361.25,539187.75,539195.75,5283354.25,5283362.25,FWS7x7
BR210A,539187.09,5283339.53,BR210A_022,539207.75,5283357.75,20.66,18.22,Y,Y,N,539205.75,539209.75,5283355.75,5283359.75,539204.75,539210.75,5283354.75,5283360.75,539203.75,539211.75,5283353.75,5283361.75,FWS7x7
BR210A,539187.09,5283339.53,BR210A_023,539200.25,5283357.25,13.16,17.72,Y,Y,N,539198.25,539202.25,5283355.25,5283359.25,539197.25,539203.25,5283354.25,5283360.25,539196.25,539204.25,5283353.25,5283361.25,FWS7x7
BR210A,539187.09,5283339.53,BR210A_024,539185.75,5283355.75,1.34,16.22,Y,Y,N,539183.75,539187.75,5283353.75,5283357.75,539182.75,539188.75,5283352.75,5283358.75,539181.75,539189.75,5283351.75,5283359.75,FWS7x7
BR210A,539187.09,5283339.53,BR210A_027,539194.75,5283352.75,7.66,13.22,Y,Y,N,539192.75,539196.75,5283350.75,5283354.75,539191.75,539197.75,5283349.75,5283355.75,539190.75,539198.75,5283348.75,5283356.75,FWS7x7
BR210A,539187.09,5283339.53,BR210A_028,539200.25,5283352.75,13.16,13.22,Y,Y,N,539198.25,539202.25,5283350.75,5283354.75,539197.25,539203.25,5283349.75,5283355.75,539196.25,539204.25,5283348.75,5283356.75,FWS7x7
BR210A,539187.09,5283339.53,BR210A_029,539166.25,5283351.75,20.84,12.22,Y,Y,N,539164.25,539168.25,5283349.75,5283353.75,539163.25,539169.25,5283348.75,5283354.75,539162.25,539170.25,5283347.75,5283355.75,FWS7x7
BR210A,539187.09,5283339.53,BR210A_032,539165.75,5283348.25,21.34,8.72,Y,Y,N,539163.75,539167.75,5283346.25,5283350.25,539162.75,539168.75,5283345.25,5283351.25,539161.75,539169.75,5283344.25,5283352.25,FWS7x7
