,gapht_m,site,fp_m2,type,tot_mu,tot_se,prop_mu,prop_se
1,2,CdA,16m2,live,0.00505,0.00232,0.00032,0.00015
2,2,CdA,36m2,live,0.37426,0.0382,0.0104,0.00106
3,2,CdA,64m2,live,1.95198,0.12794,0.0305,0.002
4,2,StJ,16m2,live,0,0,0,0
5,2,StJ,36m2,live,0.28604,0.03439,0.00795,0.00096
6,2,StJ,64m2,live,1.72798,0.13271,0.027,0.00207
7,4,CdA,16m2,live,0.07477,0.01838,0.00467,0.00115
8,4,CdA,36m2,live,0.81213,0.07885,0.02256,0.00219
9,4,CdA,64m2,live,3.29528,0.19853,0.05149,0.0031
10,4,StJ,16m2,live,0.01251,0.01017,0.00078,0.00064
11,4,StJ,36m2,live,0.45721,0.05129,0.0127,0.00142
12,4,StJ,64m2,live,2.32583,0.16237,0.03634,0.00254
13,6,CdA,16m2,live,0.31866,0.05195,0.01992,0.00325
14,6,CdA,36m2,live,1.53875,0.14161,0.04274,0.00393
15,6,CdA,64m2,live,4.84646,0.28752,0.07573,0.00449
16,6,StJ,16m2,live,0.04279,0.02064,0.00267,0.00129
17,6,StJ,36m2,live,0.65616,0.07082,0.01823,0.00197
18,6,StJ,64m2,live,2.91241,0.19175,0.04551,0.003
19,8,CdA,16m2,live,0.51348,0.07229,0.03209,0.00452
20,8,CdA,36m2,live,2.10636,0.18049,0.05851,0.00501
21,8,CdA,64m2,live,6.08719,0.34731,0.09511,0.00543
22,8,StJ,16m2,live,0.07082,0.02503,0.00443,0.00156
23,8,StJ,36m2,live,0.87838,0.08627,0.0244,0.0024
24,8,StJ,64m2,live,3.56807,0.21915,0.05575,0.00342
25,10,CdA,16m2,live,0.67439,0.08366,0.04215,0.00523
26,10,CdA,36m2,live,2.58446,0.20458,0.07179,0.00568
27,10,CdA,64m2,live,7.18239,0.38295,0.11222,0.00598
28,10,StJ,16m2,live,0.12487,0.03278,0.0078,0.00205
29,10,StJ,36m2,live,1.14189,0.10622,0.03172,0.00295
30,10,StJ,64m2,live,4.31982,0.25119,0.0675,0.00392
31,12,CdA,16m2,live,0.83446,0.09332,0.05215,0.00583
32,12,CdA,36m2,live,3.05244,0.2219,0.08479,0.00616
33,12,CdA,64m2,live,8.39343,0.40866,0.13115,0.00639
34,12,StJ,16m2,live,0.21772,0.04516,0.01361,0.00282
35,12,StJ,36m2,live,1.50901,0.13059,0.04192,0.00363
36,12,StJ,64m2,live,5.28178,0.28395,0.08253,0.00444
37,14,CdA,16m2,live,0.98652,0.10077,0.06166,0.0063
38,14,CdA,36m2,live,3.60257,0.23762,0.10007,0.0066
39,14,CdA,64m2,live,9.78707,0.43171,0.15292,0.00675
40,14,StJ,16m2,live,0.34059,0.05724,0.02129,0.00358
41,14,StJ,36m2,live,2.02653,0.15745,0.05629,0.00437
42,14,StJ,64m2,live,6.61086,0.32173,0.10329,0.00503
43,16,CdA,16m2,live,1.18997,0.10954,0.07437,0.00685
44,16,CdA,36m2,live,4.31213,0.25592,0.11978,0.00711
45,16,CdA,64m2,live,11.45914,0.45664,0.17905,0.00713
46,16,StJ,16m2,live,0.54605,0.07294,0.03413,0.00456
47,16,StJ,36m2,live,2.8043,0.19292,0.0779,0.00536
48,16,StJ,64m2,live,8.46872,0.36835,0.13232,0.00576
49,18,CdA,16m2,live,1.44166,0.11976,0.0901,0.00748
50,18,CdA,36m2,live,5.2182,0.27727,0.14495,0.0077
51,18,CdA,64m2,live,13.59141,0.48433,0.21237,0.00757
52,18,StJ,16m2,live,0.83133,0.09221,0.05196,0.00576
53,18,StJ,36m2,live,3.79029,0.23188,0.10529,0.00644
54,18,StJ,64m2,live,10.8018,0.42133,0.16878,0.00658
55,20,CdA,16m2,live,1.79907,0.13085,0.11244,0.00818
56,20,CdA,36m2,live,6.45725,0.30102,0.17937,0.00836
57,20,CdA,64m2,live,16.3294,0.51341,0.25515,0.00802
58,20,StJ,16m2,live,1.17392,0.11038,0.07337,0.0069
59,20,StJ,36m2,live,5.0458,0.2692,0.14016,0.00748
60,20,StJ,64m2,live,13.67342,0.47483,0.21365,0.00742
61,22,CdA,16m2,live,2.20114,0.14131,0.13757,0.00883
62,22,CdA,36m2,live,8.00316,0.32137,0.22231,0.00893
63,22,CdA,64m2,live,19.74895,0.53742,0.30858,0.0084
64,22,StJ,16m2,live,1.64339,0.12814,0.10271,0.00801
65,22,StJ,36m2,live,6.7032,0.30471,0.1862,0.00846
66,22,StJ,64m2,live,17.21021,0.51959,0.26891,0.00812
67,24,CdA,16m2,live,2.85447,0.15459,0.1784,0.00966
68,24,CdA,36m2,live,10.22515,0.34426,0.28403,0.00956
69,24,CdA,64m2,live,24.35678,0.55648,0.38057,0.0087
70,24,StJ,16m2,live,2.34159,0.1501,0.14635,0.00938
71,24,StJ,36m2,live,9.13964,0.34017,0.25388,0.00945
72,24,StJ,64m2,live,21.99299,0.55809,0.34364,0.00872
73,26,CdA,16m2,live,3.91596,0.16953,0.24475,0.0106
74,26,CdA,36m2,live,13.32982,0.36444,0.37027,0.01012
75,26,CdA,64m2,live,30.19124,0.56705,0.47174,0.00886
76,26,StJ,16m2,live,3.50175,0.17329,0.21886,0.01083
77,26,StJ,36m2,live,12.64139,0.37271,0.35115,0.01035
78,26,StJ,64m2,live,28.32082,0.58772,0.44251,0.00918
79,28,CdA,16m2,live,5.56761,0.18605,0.34798,0.01163
80,28,CdA,36m2,live,17.58151,0.3759,0.48838,0.01044
81,28,CdA,64m2,live,37.36563,0.56079,0.58384,0.00876
82,28,StJ,16m2,live,5.15516,0.19545,0.3222,0.01222
83,28,StJ,36m2,live,16.86862,0.39582,0.46857,0.011
84,28,StJ,64m2,live,35.39039,0.60419,0.55297,0.00944
85,30,CdA,16m2,live,7.8075,0.19549,0.48797,0.01222
86,30,CdA,36m2,live,22.37089,0.36723,0.62141,0.0102
87,30,CdA,64m2,live,44.95725,0.52081,0.70246,0.00814
