"","plotid","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9","itot","imax","imean","isd","iskew","ikurt","ipground","ipcumzq10","ipcumzq30","ipcumzq50","ipcumzq70","ipcumzq90","p1th","p2th","p3th","p4th","p5th","pground","n","area"
"1","BR210A",40.93,14.8630329755844,10.979993831631,0.0114570605239644,1.66616041002993,0.878986940099118,52.4529036023475,74.2193832884796,0.29,0.46,0.65,0.92,1.49,6.09,9.06,11.39,13.89,15.91,17.65,19.45,21.26,22.79,24.28,25.75,27.37,29.28,31.67,27.7496757457847,33.5538261997406,41.8417639429313,51.2905317769131,62.7075226977951,76.0408560311284,88.6154345006485,96.8709468223087,99.9092088197146,2213398,246,71.7680360558996,53.4347167451071,0.668501518281035,2.31781068930506,0,19.1063694825784,48.8417808274879,63.4218518314375,78.1929413508099,91.9892852528104,70.2409130702636,23.0991212995688,5.89150805745598,0.729548328523718,0.0389092441879317,0,30841,2492.50439998139
"2","BR210B",37.26,19.6092542314136,9.65632829122061,-0.453863150552361,2.07614991259898,0.96503043408203,56.5969614695858,95.0609439084975,2.02,3.82,6.89,9.60200000000001,12.05,14.76,16.86,18.56,20.22,21.69,23.03,24.32,25.3365000000001,26.32,27.47,28.46,29.54,30.87,32.5,9.72819964761272,16.0393980532047,23.0813668004968,30.3746281158834,40.1923687935068,52.7021172120967,68.8541636578955,86.1875740157708,96.9671586609283,1575939,161,45.518427589394,31.9561579303551,0.773722392370543,2.8223085763302,0,13.845903934099,27.8418136742602,43.0120708986833,62.5828157054302,86.5984026031464,71.2957079313731,22.7369880422853,5.40118999480099,0.551672347062561,0.0144416844780775,0,34622,2489.51040000767
"3","BR211A",33.46,15.7537612970616,10.329596169798,-0.159259135315994,1.56428849953024,0.958227799177033,53.2903401607702,85.1105863118216,0.38,1.23,2.02,3.27,5.0625,7.12,10.19,12.83,14.96,17.335,19.28,21.07,22.69,24.1,25.34,26.5,27.44,28.43,29.86,20.2170901741717,28.8938846878761,34.7957399459545,41.2357790040193,48.7249358493994,57.3426891023458,67.6839930058814,81.2657537979426,95.8489452051684,1471151,151,33.406399019029,22.7074044325364,0.979599428653568,3.74077036741539,0,14.6544440373558,38.4999908235117,57.2612192766072,72.8261748793972,89.766244253649,71.1294790862437,24.3085517053454,4.23043734956174,0.326990326536173,0.00454153231300241,0,44038,2485.51539998656
"4","BR211G",38,17.8430256923239,11.3606836505382,-0.304802568038699,1.65723415276065,0.931581508477697,56.6757923554807,84.5424871011898,0.13,0.27,1.76,4.42,6.7,9.31,12.24,15.87,18.6,20.78,22.72,24.278,25.56,26.65,27.66,28.754,29.79,31.18,32.8035,18.8069288685305,27.0046859369241,33.5860580213763,38.9459274469541,45.8590006844627,55.2203443373875,69.7414837045227,87.3532354025167,97.9413468119834,973230,191,51.2388122565021,35.8926225450569,0.684970529943656,2.70655260712734,0,15.9289171110632,33.9993629460662,48.635266072768,64.943024773178,86.9701920409359,70.4222386016637,23.0283247341266,5.54385595451195,0.931873223123091,0.0737074865747078,0,18994,2490.50900002022
"5","BR211I",42.95,19.1553664091899,11.5977007948344,-0.266102867086456,1.7923863148961,0.947207079067272,55.9095860566449,87.0766488413547,0.48,1.17,2.66650000000001,5.65,8.6875,11.48,14.57,16.97,19.61,21.41,23.14,24.76,26.15,27.65,28.91,30.08,31.74,33.24,35.32,18.0361961823178,24.8372162115323,32.4502983337872,40.3901859325097,50.1968260255998,63.6750761308212,79.9608823747865,93.0083434428462,99.23002649105,2313916,246,57.2864923747277,38.8445176819228,0.580487621685444,2.40218088301435,0,17.2895645304324,37.3023048373407,51.9789828152794,68.9017665291221,88.0657292658852,72.4574173103585,21.6230936819172,5.20647653000594,0.685779362249951,0.0272331154684096,0,40392,2474.04200000487
"6","BR211X",39.14,19.7016059602649,11.4721488394141,-0.351356941064573,1.68715861555426,0.956731109857593,57.1536975717439,91.9081125827815,0.5475,2.555,4.23250000000001,5.97,8.19,11.13,14.55,17.9,20.7975,22.82,24.92,26.31,27.51,28.67,29.71,30.71,31.6375,32.73,34.31,14.004829251466,24.3187305967575,30.8244222145567,36.67471541911,42.4905139703346,51.5557088651259,64.6084856847189,83.2769920662297,96.7506036564333,572036,156,39.4616445916115,27.759110981001,0.812807197066432,3.00889492663619,0,13.777279751624,30.671845827885,42.877895796768,60.015103944507,84.2770385080659,73.4133554083885,21.6473509933775,4.42190949227373,0.510485651214128,0.00689845474613687,0,14496,2489.01199998978
"7","BR211Y",40.1,14.3016083980337,11.2963743698496,0.280115494431973,1.62691953855844,0.926744042135252,47.0620664308357,83.4795791794919,0.432999999999999,1.07,1.81,2.45,3.25,4.14,5.29,7.16,9.44,12.53,15.76,18.816,21.14,23,24.57,26.33,28.18,30.04,32.37,29.3669025084995,41.8221078746669,49.361389322797,55.3891390241661,62.5011485803547,73.3207755214555,84.7055039970596,94.4730313332721,99.1454562161169,1566005,228,71.943997794827,48.6303392246494,0.410784591655947,2.05219137509032,0,16.7950293900722,41.7132129207761,60.7770090133812,73.1054498548855,89.9451789745243,73.4322598428814,20.17273854918,5.5359029723894,0.808563421693389,0.0505352138558368,0,21767,2489.0117000072
"8","BR211Z",32.25,9.28304648241206,9.23539695040837,0.838876213927976,2.29101977150948,0.871346792876864,38.2914572864322,69.7738693467337,0.49,0.719000000000001,1.02,1.36,1.67,1.99,2.36,2.94,3.65,4.83,6.11,8.44,10.9135,13.759,16.6825,19.732,21.7215,24.541,26.96,42.1409724839804,56.0874481718809,62.2691292875989,68.3377308707124,74.1047870335469,79.4195250659631,86.6189219751225,92.8006030908406,97.5248146752105,588916,201,73.9844221105528,44.2513297198552,0.164888555354707,1.86328715564001,0,17.1739263324481,46.3378478424767,68.3420046322396,80.2790211167637,92.7422586582806,85.4773869346734,12.3743718592965,2.04773869346734,0.100502512562814,0,0,7960,2442.63260000455
"9","BR212A",42.61,12.2074882219221,12.3229891533306,0.923168882389522,2.28020525965544,0.861751160467078,33.716601324416,84.9141765229137,0.966000000000001,1.54,1.99,2.42,2.88,3.34,3.79,4.32,4.87,5.47,6.47,8.06,11.028,17.098,23.5,27.34,30.37,32.818,36.06,39.49327886136,61.0338692672641,66.9675803900896,69.9756193990511,72.9144702161307,77.7576436478651,83.7012387981023,92.6462836056932,97.9540063257775,1911611,166,62.9793101176161,32.374452879098,0.0426616689462947,2.0892526943322,0,12.876573738067,36.6276402468912,59.8893812600995,78.0685505576187,91.1375797691057,82.7595295357955,14.5784601192633,2.4149178005469,0.230619708101341,0.0164728362929529,0,30353,2489.01200001881
"10","BR212B",43.89,19.6558123986458,9.04106606473263,-0.339184031558047,2.31733211633185,0.932462749188348,56.3600671427352,97.3882614014623,3.26,5.57,8.06,10.45,13.29,15.43,17.048,18.63,20.06,21.23,22.2,23.22,24.31,25.35,26.47,27.68,28.82,30.31,32.31,7.33469898714009,16.5244110617958,24.7979970410834,36.5966769090702,53.4738818709457,74.3541595538864,91.313872766587,98.1791282576533,99.5134858313418,951245,105,27.0632165922217,16.116281759358,0.455087114276962,2.49104347699835,0,11.3412422667136,29.7866480244311,47.4676870837692,67.0348858601097,88.6374172794601,69.1598623004922,26.3165381660929,4.25616660502433,0.258897834931292,0.00853509345927338,0,35149,2490.5090000086
